model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
gpt-5.2_stats-prompt,0.9742,0.91667,0.97656,1.0,0.96721,0.99228
gpt-4o_one-shot-CoT,0.96819,0.94048,0.95312,0.99576,0.95902,0.98456
gpt-4o_zero-shot,0.95013,0.92262,0.94531,0.99576,0.92623,0.95367
gpt-4_one-shot-CoT,0.97592,0.95238,0.96484,1.0,0.97951,0.97683
gpt-3.5-turbo_one-shot,0.92347,0.89881,0.93359,0.95339,0.88115,0.94208
gpt-5.2-one-shot-CoT,0.96733,0.91667,0.96094,0.99576,0.96721,0.98069
gpt-4o_one-shot,0.96991,0.95833,0.95703,1.0,0.95492,0.97683
gpt-5.2-zero-shot,0.92089,0.91071,0.96484,0.97034,0.81557,0.93822
gpt-4o_stats-prompt,0.96561,0.94643,0.95312,1.0,0.94672,0.97683
gpt-3.5-turbo_zero-shot,0.87188,0.91667,0.89844,0.91525,0.77049,0.87259
gpt-4_zero-shot-CoT,0.96389,0.93452,0.95703,1.0,0.94672,0.97297
gpt-3.5-turbo_stats-prompt,0.92863,0.8869,0.92578,0.95339,0.91393,0.94981
gpt-5.2-one-shot,0.96045,0.91667,0.96094,0.99576,0.93443,0.98069
gpt-3.5-turbo_zero-shot-CoT,0.88048,0.91667,0.92578,0.89831,0.78279,0.88803
gpt-5.2-zero-shot-CoT,0.92175,0.88095,0.96484,0.97458,0.84016,0.93436
gpt-4_stats-prompt,0.96131,0.91071,0.95703,0.99153,0.97541,0.95753
gpt-3.5-turbo_one-shot-CoT,0.92261,0.8869,0.94531,0.96186,0.88934,0.91892
gpt-4_zero-shot,0.96561,0.94048,0.96094,0.99576,0.95082,0.97297
gpt-4_one-shot,0.96905,0.92857,0.95703,0.99153,0.97541,0.98069
gpt-4o_zero-shot-CoT,0.95271,0.93452,0.94531,0.99153,0.92623,0.96139
