model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
gpt-5.2_stats-prompt,0.50731,0.41667,0.22656,0.58898,0.40574,0.86486
gpt-4o_one-shot-CoT,0.49699,0.70238,0.25781,0.29237,0.34426,0.9305
gpt-4o_zero-shot,0.4583,0.64881,0.19531,0.25424,0.33607,0.89575
gpt-4_one-shot-CoT,0.47979,0.69048,0.30078,0.41949,0.11066,0.92278
gpt-3.5-turbo_one-shot,0.4454,0.58929,0.14062,0.29237,0.32787,0.90347
gpt-5.2-one-shot-CoT,0.41187,0.3869,0.15625,0.33051,0.31557,0.84556
gpt-4o_one-shot,0.50215,0.70238,0.26562,0.30932,0.35656,0.91892
gpt-5.2-zero-shot,0.30181,0.30952,0.07812,0.19915,0.18443,0.72201
gpt-4o_stats-prompt,0.66122,0.63095,0.67188,0.59322,0.47541,0.90734
gpt-3.5-turbo_zero-shot,0.42132,0.5,0.33594,0.27119,0.22951,0.7722
gpt-4_zero-shot-CoT,0.44368,0.69643,0.23828,0.46186,0.03689,0.84942
gpt-3.5-turbo_stats-prompt,0.53224,0.67857,0.37109,0.42373,0.31967,0.89575
gpt-5.2-one-shot,0.38263,0.3631,0.10938,0.26695,0.30738,0.8417
gpt-3.5-turbo_zero-shot-CoT,0.42476,0.48214,0.35938,0.27119,0.22951,0.77606
gpt-5.2-zero-shot-CoT,0.29923,0.30357,0.08203,0.21186,0.17623,0.70656
gpt-4_stats-prompt,0.5417,0.67262,0.44531,0.5,0.20082,0.9112
gpt-3.5-turbo_one-shot-CoT,0.43508,0.56548,0.11328,0.27542,0.33197,0.9112
gpt-4_zero-shot,0.43508,0.67857,0.21094,0.45763,0.05328,0.83784
gpt-4_one-shot,0.48753,0.70238,0.26562,0.44915,0.15164,0.91892
gpt-4o_zero-shot-CoT,0.4626,0.65476,0.21094,0.25424,0.34016,0.89189
