extracted_answer,serial_number,task,results,relevant_column,ground_truth,dataset,refined_question,difficulty,methods_comparison_result,columns_comparison_result,methods_score,columns_score,selection_overall
"{
  ""columns"": [""GRE Score"", ""LOR ""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",0,Variance Test,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 735.69701, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","[{""column_header"": ""GRE Score"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""LOR "", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""GRE Score"", ""LOR ""], ""methods"": [""Mood Variance Test"", ""Levene Test""]}",Dataset for Admission in the University,Is the variability in GRE scores not significantly different from that in Letter of Recommendation?,hard,"{""Correct"": 2, ""Wrong"": 2, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Year"", ""United States"", ""Bangladesh""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",1,Variance Test,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 11.46874, \""p value\"": 0.01474}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 6.7422, \""p value\"": 0.00942}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 26.73523, \""p value\"": 0.00207}"", ""conclusion"": ""Variance significantly difference between them""}]","[{""column_header"": ""United States"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Bangladesh"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""United States"", ""Bangladesh""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",Crop Production Dataset,Are the variations in yearly crop yields in the United States similar to those in Bangladesh?,easy,"{""Correct"": 4, ""Wrong"": 3, ""Missed"": 0}","{""Correct"": 2, ""Wrong"": 1, ""Missed"": 0}",0.0,0.0,0
"{
  ""columns"": [
    ""Terrorist Death Type : Killed"",
    ""Attack method: Hostage Taking (Kidnapping)"",
    ""Attack method: Armed Assault""
  ],
  ""methods"": [
    ""Chi-square Independence Test"",
    ""Pearson Correlation Coefficient"",
    ""Spearman Correlation Coefficient"",
    ""Kendall Correlation Coefficient""
  ]
}",2,Correlation Analysis,"[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.41449, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","[{""column_header"": ""Terrorist Death Type : Killed"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Hostage Taking (Kidnapping)"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Attack method: Armed Assault"", ""is_strata"": false, ""is_control"": true}]","{""columns"": [""Terrorist Death Type : Killed"", ""Attack method: Hostage Taking (Kidnapping)"", ""Attack method: Armed Assault""], ""methods"": [""Partial Correlation Coefficient""]}",Terrorist Attacks Dataset,"What is the relationship between the Terrorist Death Type ""Killed"" and the Attack method ""Hostage Taking (Kidnapping)"" while accounting for the presence of the Attack method ""Armed Assault""?",easy,"{""Correct"": 0, ""Wrong"": 4, ""Missed"": 1}","{""Correct"": 3, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""MntMeatProducts""],
  ""methods"": [""Skewness""]
}",3,Descriptive Statistics,"[{""method"": ""Kurtosis"", ""result"": ""5.51672"", ""conclusion"": ""5.51672""}]","[{""column_header"": ""MntMeatProducts"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""MntMeatProducts""], ""methods"": [""Kurtosis""]}",Customer Personality Analysis Dataset,How skewed is the distribution of spending on meat (MntMeatProducts) in the last 2 years?,easy,"{""Correct"": 0, ""Wrong"": 1, ""Missed"": 1}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""happyScore"", ""GDP""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",4,Distribution Compliance Test,"[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","[{""column_header"": ""happyScore"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""GDP"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""happyScore"", ""GDP""], ""methods"": [""Kolmogorov-Smirnov Test""]}",Income and Happiness Score Dataset,Do observable differences exist in the distribution shapes of the overall happiness score and Gross Domestic Product (GDP)?,easy,"{""Correct"": 0, ""Wrong"": 4, ""Missed"": 1}","{""Correct"": 2, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""income_inequality""],
  ""methods"": [""Mean""]
}",5,Descriptive Statistics,"[{""method"": ""Mean"", ""result"": ""38.41781"", ""conclusion"": ""38.41781""}]","[{""column_header"": ""income_inequality"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""income_inequality""], ""methods"": [""Mean""]}",Income and Happiness Score Dataset,Could you calculate the average level of income inequality within the country?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
"{
  ""columns"": [""Age""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",6,Distribution Compliance Test,"[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 47.09029, \\\""crit\\\"": 0.575}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","[{""column_header"": ""Age"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Age""], ""methods"": [""Anderson-Darling Test"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]}",Exercise and Fitness Metrics Dataset,Is there evidence to suggest that the variable Age does not follow a normal distribution?,hard,"{""Correct"": 2, ""Wrong"": 1, ""Missed"": 1}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""Year"", ""Vietnam""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",7,Distribution Compliance Test,"[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 0.28013, \\\""crit\\\"": 1.317}\""}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Shapiro-Wilk Test of Normality"", ""result"": ""{\""p value\"": 0.49844}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.8894}"", ""conclusion"": ""Normally distributed""}]","[{""column_header"": ""Vietnam"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""Vietnam""], ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality""]}",Crop Production Dataset,Is it appropriate to apply methods assuming normality to the annual crop production data from Vietnam?,hard,"{""Correct"": 2, ""Wrong"": 1, ""Missed"": 1}","{""Correct"": 1, ""Wrong"": 1, ""Missed"": 0}",0.0,0.0,0
"{
  ""columns"": [""adjusted_satisfaction""],
  ""methods"": [""Range"", ""Standard Deviation"", ""Variance Test""]
}",8,Descriptive Statistics,"[{""method"": ""Range"", ""result"": ""55.0"", ""conclusion"": ""55.0""}]","[{""column_header"": ""adjusted_satisfaction"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""adjusted_satisfaction""], ""methods"": [""Range""]}",Income and Happiness Score Dataset,How much variability is observed in the adjusted self-reported happiness scores?,easy,"{""Correct"": 1, ""Wrong"": 2, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",0.0,1.0,0
"{
  ""columns"": [""reading score""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",9,Distribution Compliance Test,"[{""method"": ""Kolmogorov-Smirnov Test for Gamma distribution"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-compliance""}]","[{""column_header"": ""reading score"", ""is_strata"": false, ""is_control"": false}]","{""columns"": [""reading score""], ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]}",Students Math-Reading-Writing Performance Dataset,Is the reading score distributed according to a Gamma distribution?,easy,"{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}","{""Correct"": 1, ""Wrong"": 0, ""Missed"": 0}",1.0,1.0,1
