extracted_answer,serial_number
"{
  ""columns"": [""GRE Score"", ""LOR ""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",0
"{""columns"": [""Year"", ""United States"", ""Bangladesh""], ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]}",1
"{
  ""columns"": [""Terrorist Death Type : Killed"", ""Attack method: Hostage Taking (Kidnapping)"", ""Attack method: Armed Assault""],
  ""methods"": [""Partial Correlation Coefficient""]
}",2
"{
  ""columns"": [""MntMeatProducts""],
  ""methods"": [""Skewness""]
}",3
"{
  ""columns"": [""happyScore"", ""GDP""],
  ""methods"": [""Kolmogorov-Smirnov Test"", ""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality""]
}",4
"{
  ""columns"": [""country"", ""income_inequality""],
  ""methods"": [""Mean""]
}",5
"{
  ""columns"": [""Age""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",6
"{
  ""columns"": [""Vietnam""],
  ""methods"": [""Mean"", ""Median"", ""Mode"", ""Range"", ""Quartile"", ""Standard Deviation"", ""Skewness"", ""Kurtosis""]
}",7
"{
  ""columns"": [""adjusted_satisfaction""],
  ""methods"": [""Range"", ""Quartile"", ""Standard Deviation"", ""Variance Test""]
}",8
"{
  ""columns"": [""reading score""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",9
"{
  ""columns"": [""Calories Burn"", ""Actual Weight""],
  ""methods"": [""Variance Test""]
}",10
"{
  ""columns"": [""F2017""],
  ""methods"": [""Kurtosis""]
}",11
"{
  ""columns"": [""goout"", ""famrel"", ""studytime""],
  ""methods"": [""Partial Correlation Coefficient""]
}",12
"{
  ""columns"": [""Death Age : 21-50""],
  ""methods"": [""Median""]
}",13
"{""columns"": [""newyorkretail"", ""averagespread"", ""farmprice""], ""methods"": [""Partial Correlation Coefficient""]}",14
"{
  ""columns"": [""Year"", ""Japan"", ""Brazil""],
  ""methods"": [""F-Test for Variance""]
}",15
"{""columns"": [""United States"", ""Philippines""], ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]}",16
"{
  ""columns"": [""median_income""],
  ""methods"": [""Median""]
}",17
"{
  ""columns"": [""Sp_Def""],
  ""methods"": [""Kurtosis""]
}",18
"{
  ""columns"": [""Preferred Foot"", ""Weak Foot""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",19
"{
  ""columns"": [""age"", ""freetime""],
  ""methods"": [""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",20
"{
  ""columns"": [""ALCOHOL CONSUMING"", ""SHORTNESS OF BREATH""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",21
"{
  ""columns"": [""Weight""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Anderson-Darling Test"", ""Lilliefors Test""]
}",22
"{
  ""columns"": [""Age""],
  ""methods"": [""Range""]
}",23
"{
  ""columns"": [""Research Environment Score""],
  ""methods"": [""Kolmogorov-Smirnov Test for Uniform distribution""]
}",24
"{
  ""columns"": [""Tenure"", ""EstimatedSalary""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",25
"{
  ""columns"": [""Nigeria"", ""China""],
  ""methods"": [""F-Test for Variance"", ""Levene Test"", ""Bartlett Test""]
}",26
"{
  ""columns"": [""Height_m"", ""Weight_kg""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",27
"{
  ""columns"": [""ANU""],
  ""methods"": [""Range""]
}",28
"{
  ""columns"": [""Attack method: Hostage Taking (Kidnapping)""],
  ""methods"": [""Kurtosis""]
}",29
"{
  ""columns"": [""Rest of World""],
  ""methods"": [""Standard Deviation""]
}",30
