extracted_answer,serial_number
"{
  ""columns"": [""GRE Score"", ""LOR ""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",0
"{
  ""columns"": [""Year"", ""United States"", ""Bangladesh""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",1
"{
  ""columns"": [""Terrorist Death Type : Killed"", ""Attack method: Hostage Taking (Kidnapping)"", ""Attack method: Armed Assault""],
  ""methods"": [""Partial Correlation Coefficient""]
}",2
"{
  ""columns"": [""MntMeatProducts""],
  ""methods"": [""Skewness"", ""Kurtosis"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality""]
}",3
"{
  ""columns"": [""happyScore"", ""GDP""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",4
"{
  ""columns"": [""income_inequality""],
  ""methods"": [""Mean""]
}",5
"{
  ""columns"": [""Age""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",6
"{
  ""columns"": [""Vietnam""],
  ""methods"": [""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",7
"{
  ""columns"": [""adjusted_satisfaction""],
  ""methods"": [""Mean"", ""Median"", ""Mode"", ""Range"", ""Quartile"", ""Standard Deviation"", ""Skewness"", ""Kurtosis""]
}",8
"{
  ""columns"": [""reading score""],
  ""methods"": [""Kolmogorov-Smirnov Test for Gamma distribution""]
}",9
"{
  ""columns"": [""Calories Burn"", ""Actual Weight""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",10
"{
  ""columns"": [""F2017""],
  ""methods"": [""Kurtosis""]
}",11
"{
  ""columns"": [""goout"", ""famrel"", ""studytime""],
  ""methods"": [""Partial Correlation Coefficient""]
}",12
"{
  ""columns"": [""Death Age : 21-50""],
  ""methods"": [""Median""]
}",13
"{
  ""columns"": [""newyorkretail"", ""averagespread"", ""farmprice""],
  ""methods"": [""Partial Correlation Coefficient""]
}",14
"{
  ""columns"": [""Year"", ""Japan"", ""Brazil""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",15
"{
  ""columns"": [""United States"", ""Philippines""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",16
"{
  ""columns"": [""median_income""],
  ""methods"": [""Median""]
}",17
"{
  ""columns"": [""Sp_Def""],
  ""methods"": [""Kurtosis""]
}",18
"{
  ""columns"": [""Preferred Foot"", ""Weak Foot""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",19
"{
  ""columns"": [""age"", ""freetime""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",20
"{
  ""columns"": [""ALCOHOL CONSUMING"", ""SHORTNESS OF BREATH""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",21
"{
  ""columns"": [""Weight""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",22
"{
  ""columns"": [""Age""],
  ""methods"": [""Range""]
}",23
"{
  ""columns"": [""Research Environment Score""],
  ""methods"": [""Kolmogorov-Smirnov Test for Uniform distribution""]
}",24
"{
  ""columns"": [""Tenure"", ""EstimatedSalary""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient""]
}",25
"{
  ""columns"": [""Nigeria"", ""China""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",26
"{
  ""columns"": [""Height_m"", ""Weight_kg""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",27
"{
  ""columns"": [""ANU""],
  ""methods"": [""Range""]
}",28
"{
  ""columns"": [""Attack method: Hostage Taking (Kidnapping)""],
  ""methods"": [""Kurtosis""]
}",29
"{
  ""columns"": [""Rest of World""],
  ""methods"": [""Standard Deviation""]
}",30
"{
  ""columns"": [""studytime"", ""health"", ""age""],
  ""methods"": [""Partial Correlation Coefficient""]
}",31
"{
  ""columns"": [""TV Ad Budget ($)"", ""Sales ($)""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test"", ""Kolmogorov-Smirnov Test""]
}",32
"{
  ""columns"": [""NumWebPurchases"", ""MntMeatProducts"", ""MntSweetProducts""],
  ""methods"": [""Pearson Correlation Coefficient"", ""Spearman Correlation Coefficient"", ""Kendall Correlation Coefficient"", ""Partial Correlation Coefficient""]
}",33
"{
  ""columns"": [""Dream Weight"", ""Heart Rate""],
  ""methods"": [""Anderson-Darling Test"", ""Shapiro-Wilk Test of Normality"", ""Kolmogorov-Smirnov Test for Normality"", ""Lilliefors Test""]
}",34
"{
  ""columns"": [""Pakistan"", ""Brazil""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",35
"{
  ""columns"": [""FastingBS"", ""ChestPainType""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",36
"{
  ""columns"": [""Nigeria"", ""Bangladesh""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",37
"{
  ""columns"": [""Age"", ""Overall""],
  ""methods"": [""Mood Variance Test"", ""Levene Test"", ""Bartlett Test"", ""F-Test for Variance""]
}",38
"{
  ""columns"": [""PEER_PRESSURE"", ""CHEST PAIN""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",39
"{
  ""columns"": [""Medu"", ""freetime""],
  ""methods"": [""Chi-square Independence Test"", ""Fisher Exact Test""]
}",40
