model_answer,serial_number
"{""columns"":[""GRE Score"",""LOR ""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",0
"{""columns"":[""United States"",""Bangladesh"",""Year""],""methods"":[""Range"",""Quartile"",""Standard Deviation"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",1
"{""columns"":[""Terrorist Death Type : Killed"",""Attack method: Hostage Taking (Kidnapping)"",""Attack method: Armed Assault""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",2
"{""columns"":[""MntMeatProducts""],""methods"":[""Skewness"",""Kurtosis"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation""]}",3
"{""columns"":[""happyScore"",""GDP""],""methods"":[""Descriptive Statistics: Skewness"",""Descriptive Statistics: Kurtosis"",""Distribution Compliance Test: Shapiro-Wilk Test of Normality"",""Distribution Compliance Test: Anderson-Darling Test"",""Distribution Compliance Test: Kolmogorov-Smirnov Test for Normality"",""Distribution Compliance Test: Lilliefors Test""]}",4
"{""columns"":[""income_inequality""],""methods"":[""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",5
"{""columns"":[""Age""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",6
"{""columns"":[""Vietnam"",""Year""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",7
"{""columns"":[""adjusted_satisfaction""],""methods"":[""Range"",""Quartile"",""Standard Deviation"",""Variance Test""]}",8
"{""columns"":[""reading score""],""methods"":[""Kolmogorov-Smirnov Test for Gamma distribution""]}",9
"{""columns"":[""Calories Burn"",""Actual Weight""],""methods"":[""Range"",""Quartile"",""Standard Deviation"",""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",10
"{""columns"":[""F2017""],""methods"":[""Kurtosis""]}",11
"{""columns"":[""goout"",""famrel"",""studytime""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Pearson Correlation Coefficient"",""Kendall Correlation Coefficient""]}",12
"{""columns"":[""Death Age : 21-50 ""],""methods"":[""Median""]}",13
"{""columns"":[""newyorkretail"",""averagespread"",""farmprice""],""methods"":[""Partial Correlation Coefficient"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",14
"{""columns"":[""Year"",""Japan"",""Brazil""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""Mean"",""Median"",""Range"",""Quartile"",""Standard Deviation""]}",15
"{""columns"":[""United States"",""Philippines""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",16
"{""columns"":[""median_income""],""methods"":[""Median""]}",17
"{""columns"":[""Sp_Def""],""methods"":[""Descriptive Statistics: Kurtosis""]}",18
"{""columns"":[""Preferred Foot"",""Weak Foot""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",19
"{""columns"":[""age"",""freetime""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",20
"{""columns"":[""ALCOHOL CONSUMING"",""SHORTNESS OF BREATH""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",21
"{""columns"":[""Weight""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",22
"{""columns"":[""Age""],""methods"":[""Range""]}",23
"{""columns"":[""Research Environment Score""],""methods"":[""Kolmogorov-Smirnov Test for Uniform distribution""]}",24
"{""columns"":[""Tenure"",""EstimatedSalary""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",25
"{""columns"":[""Nigeria"",""China""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",26
