model_answer,serial_number
"{""columns"":[""GRE Score"",""LOR ""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",0
"{""columns"":[""United States"",""Bangladesh"",""Year""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test"",""Standard Deviation"",""Range"",""Quartile""]}",1
"{""columns"":[""Terrorist Death Type : Killed"",""Attack method: Hostage Taking (Kidnapping)"",""Attack method: Armed Assault""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Pearson Correlation Coefficient""]}",2
"{""columns"":[""MntMeatProducts""],""methods"":[""Skewness"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Kurtosis"",""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",3
"{""columns"":[""happyScore"",""GDP""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis""]}",4
"{""columns"":[""income_inequality""],""methods"":[""Mean""]}",5
"{""columns"":[""Age""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",6
"{""columns"":[""Vietnam"",""Year""],""methods"":[""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test"",""Skewness"",""Kurtosis""]}",7
"{""columns"":[""adjusted_satisfaction""],""methods"":[""Range"",""Quartile"",""Standard Deviation"",""Variance Test""]}",8
"{""columns"":[""reading score""],""methods"":[""Kolmogorov-Smirnov Test for Gamma distribution""]}",9
"{""columns"":[""Calories Burn"",""Actual Weight""],""methods"":[""Range"",""Quartile"",""Standard Deviation"",""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",10
"{""columns"":[""F2017""],""methods"":[""Kurtosis""]}",11
"{""columns"":[""goout"",""famrel"",""studytime""],""methods"":[""Partial Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",12
"{""columns"":[""Death Age : 21-50 ""],""methods"":[""Median""]}",13
"{""columns"":[""newyorkretail"",""averagespread"",""farmprice""],""methods"":[""Partial Correlation Coefficient"",""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",14
"{""columns"":[""Japan"",""Brazil"",""Year""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",15
"{""columns"":[""United States"",""Philippines""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",16
"{""columns"":[""median_income""],""methods"":[""Median""]}",17
"{""columns"":[""Sp_Def""],""methods"":[""Kurtosis""]}",18
"{""columns"":[""Preferred Foot"",""Weak Foot""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",19
"{""columns"":[""age"",""freetime""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",20
"{""columns"":[""ALCOHOL CONSUMING"",""SHORTNESS OF BREATH""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",21
"{""columns"":[""Weight""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",22
"{""columns"":[""Age""],""methods"":[""Range"",""Mean"",""Median"",""Mode"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",23
"{""columns"":[""Research Environment Score""],""methods"":[""Kolmogorov-Smirnov Test for Uniform distribution""]}",24
"{""columns"":[""Tenure"",""EstimatedSalary""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",25
"{""columns"":[""Nigeria"",""China""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",26
"{""columns"":[""Height_m"",""Weight_kg""],""methods"":[""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: F-Test for Variance"",""Variance Test: Mood Variance Test""]}",27
"{""columns"":[""ANU""],""methods"":[""Range""]}",28
"{""columns"":[""Attack method: Hostage Taking (Kidnapping)""],""methods"":[""Kurtosis""]}",29
"{""columns"":[""Rest of World""],""methods"":[""Standard Deviation""]}",30
"{""columns"":[""studytime"",""health"",""age""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient""]}",31
"{""columns"":[""TV Ad Budget ($)"",""Sales ($)""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test""]}",32
"{""columns"":[""NumWebPurchases"",""MntMeatProducts"",""MntSweetProducts""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient""]}",33
"{""columns"":[""Dream Weight"",""Heart Rate""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Kolmogorov-Smirnov Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",34
"{""columns"":[""Pakistan"",""Brazil"",""Year""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",35
"{""columns"":[""FastingBS"",""ChestPainType""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",36
"{""columns"":[""Nigeria"",""Bangladesh""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",37
"{""columns"":[""Age"",""Overall""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",38
"{""columns"":[""PEER_PRESSURE"",""CHEST PAIN""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",39
"{""columns"":[""Medu"",""freetime""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",40
"{""columns"":[""Attack method: Unarmed Assault"",""Attack method: Armed Assault""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",41
"{""columns"":[""MntGoldProds""],""methods"":[""Standard Deviation""]}",42
"{""columns"":[""Sp_Atk"",""Pr_Male"",""Attack""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient""]}",43
"{""columns"":[""reason"",""activities""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",44
"{""columns"":[""CH2O""],""methods"":[""Quartile""]}",45
"{""columns"":[""ChestPainType"",""HeartDisease""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",46
"{""columns"":[""# of Homeless Individuals Served at The Source""],""methods"":[""Kolmogorov-Smirnov Test for Uniform distribution""]}",47
"{""columns"":[""MntGoldProds""],""methods"":[""Standard Deviation""]}",48
"{""columns"":[""schoolsup"",""internet"",""school""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",49
"{""columns"":[""Value"",""Release Clause""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""Mean"",""Median"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis"",""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",50
"{""columns"":[""Philippines"",""Vietnam""],""methods"":[""Anderson-Darling Test"",""Kolmogorov-Smirnov Test""]}",51
"{""columns"":[""Defense"",""Speed""],""methods"":[""Descriptive Statistics: Range"",""Descriptive Statistics: Quartile"",""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Skewness"",""Descriptive Statistics: Kurtosis"",""Variance Test: Mood Variance Test"",""Variance Test: Levene Test"",""Variance Test: Bartlett Test"",""Variance Test: F-Test for Variance""]}",52
"{""columns"":[""std_satisfaction"",""median_income""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",53
"{""columns"":[""Height_m"",""Weight_kg""],""methods"":[""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",54
"{""columns"":[""HP"",""Sp_Atk""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",55
"{""columns"":[""Kidhome"",""NumCatalogPurchases""],""methods"":[""Kolmogorov-Smirnov Test"",""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",56
"{""columns"":[""PEER_PRESSURE"",""SHORTNESS OF BREATH"",""YELLOW_FINGERS""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",57
"{""columns"":[""Philippines"",""Bangladesh""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",58
"{""columns"":[""Number of trees sold"",""Average Tree Price""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",59
"{""columns"":[""goout"",""Walc""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",60
"{""columns"":[""Total eMedia Circulation"",""New Cardholders""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",61
"{""columns"":[""Death Age :  1-5""],""methods"":[""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",62
"{""columns"":[""YELLOW_FINGERS"",""CHEST PAIN""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",63
"{""columns"":[""Pakistan"",""Bangladesh""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",64
"{""columns"":[""Terrorist attacks""],""methods"":[""Median""]}",65
"{""columns"":[""Death Age : 21-50 ""],""methods"":[""Descriptive Statistics: Quartile""]}",66
"{""columns"":[""kms_driven"",""max_power(bhp)""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",67
"{""columns"":[""Sp_Atk""],""methods"":[""Kolmogorov-Smirnov Test for Uniform distribution""]}",68
"{""columns"":[""F2014""],""methods"":[""Range""]}",69
"{""columns"":[""reading score""],""methods"":[""Standard Deviation""]}",70
"{""columns"":[""Income"",""NumDealsPurchases""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Kolmogorov-Smirnov Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",71
"{""columns"":[""Age""],""methods"":[""Kolmogorov-Smirnov Test for Gamma distribution"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test""]}",72
"{""columns"":[""MntWines"",""Z_Revenue""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Kolmogorov-Smirnov Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis"",""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",73
"{""columns"":[""Myanmar"",""India"",""Year""],""methods"":[""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",74
"{""columns"":[""kms_driven""],""methods"":[""Standard Deviation""]}",75
"{""columns"":[""Attack method: Assassination"",""Attack method: Hijacking"",""Attack method: Facility/Infrastructure Attack""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Partial Correlation Coefficient""]}",76
"{""columns"":[""Review #""],""methods"":[""Mean""]}",77
"{""columns"":[""Walc"",""G1""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",78
"{""columns"":[""FATIGUE "",""SWALLOWING DIFFICULTY"",""SMOKING"",""YELLOW_FINGERS""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",79
"{""columns"":[""age"",""bmi""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",80
"{""columns"":[""AcceptedCmp2"",""Response""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",81
"{""columns"":[""CreditScore"",""EstimatedSalary""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",82
"{""columns"":[""Research Quality Score""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test""]}",83
"{""columns"":[""Income"",""NumWebVisitsMonth""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Mean"",""Median"",""Standard Deviation"",""Range"",""Quartile"",""Skewness"",""Kurtosis"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Anderson-Darling Test""]}",84
"{""columns"":[""Cholesterol""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",85
"{""columns"":[""hasGender"",""isLegendary""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",86
"{""columns"":[""COUGHING"",""SWALLOWING DIFFICULTY"",""WHEEZING""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",87
"{""columns"":[""reason"",""activities""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",88
"{""columns"":[""New Cardholders"",""# of Attendees at Children's and Teen Programming""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Pearson Correlation Coefficient""]}",89
"{""columns"":[""MntWines""],""methods"":[""Mean"",""Median"",""Mode"",""Range"",""Quartile"",""Standard Deviation"",""Skewness"",""Kurtosis""]}",90
"{""columns"":[""sex"",""romantic""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test""]}",91
"{""columns"":[""Total Library Visitors"",""Total eMedia Circulation""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""F-Test for Variance"",""Levene Test"",""Bartlett Test"",""Mood Variance Test""]}",92
"{""columns"":[""median_income"",""happyScore""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",93
"{""columns"":[""MntMeatProducts"",""MntSweetProducts""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",94
"{""columns"":[""MaxHR"",""Oldpeak""],""methods"":[""Kolmogorov-Smirnov Test""]}",95
"{""columns"":[""MntWines"",""MntFishProducts""],""methods"":[""Anderson-Darling Test"",""Shapiro-Wilk Test of Normality"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Kolmogorov-Smirnov Test""]}",96
"{""columns"":[""SquareFeet"",""Bathrooms""],""methods"":[""Mood Variance Test"",""Levene Test"",""Bartlett Test"",""F-Test for Variance""]}",97
"{""columns"":[""# of Homeless Individuals Served at The Source""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Median"",""Quartile"",""Range"",""Skewness"",""Kurtosis""]}",98
"{""columns"":[""Calories Burn"",""BMI""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",99
"{""columns"":[""GENDER""],""methods"":[""Mode""]}",100
"{""columns"":[""gpa""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis""]}",101
"{""columns"":[""Potential"",""Special""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""F-Test for Variance"",""Mood Variance Test""]}",102
"{""columns"":[""Z_CostContact""],""methods"":[""Descriptive Statistics: Kurtosis""]}",103
"{""columns"":[""GRE Score""],""methods"":[""Skewness""]}",104
"{""columns"":[""NCP""],""methods"":[""Descriptive Statistics: Mean"",""Descriptive Statistics: Median"",""Descriptive Statistics: Mode"",""Descriptive Statistics: Skewness"",""Descriptive Statistics: Kurtosis""]}",105
"{""columns"":[""Europe"",""Review""],""methods"":[""Pearson Correlation Coefficient"",""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient""]}",106
"{""columns"":[""studytime"",""health""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Levene Test"",""Bartlett Test"",""Mood Variance Test"",""F-Test for Variance""]}",107
"{""columns"":[""CAEC"",""NObeyesdad""],""methods"":[""Chi-square Independence Test"",""Fisher Exact Test"",""Mantel-Haenszel Test""]}",108
"{""columns"":[""NumWebPurchases""],""methods"":[""Descriptive Statistics: Mean"",""Descriptive Statistics: Median"",""Descriptive Statistics: Standard Deviation"",""Descriptive Statistics: Skewness"",""Descriptive Statistics: Kurtosis"",""Descriptive Statistics: Quartile"",""Descriptive Statistics: Range""]}",109
"{""columns"":[""F2019""],""methods"":[""Standard Deviation"",""Range"",""Quartile"",""Variance Test""]}",110
"{""columns"":[""Bangladesh""],""methods"":[""Shapiro-Wilk Test of Normality"",""Anderson-Darling Test"",""Kolmogorov-Smirnov Test for Normality"",""Lilliefors Test"",""Skewness"",""Kurtosis""]}",111
"{""columns"":[""New Cardholders"",""# of Attendees at Children's and Teen Programming""],""methods"":[""Spearman Correlation Coefficient"",""Kendall Correlation Coefficient"",""Pearson Correlation Coefficient""]}",112
