invest,value,capital,firm,year,group
317.6,3078.5,2.8,General Motors,1935.0,group_B
391.8,4661.7,52.6,General Motors,1936.0,group_B
683.703590909091,5387.1,156.9,General Motors,1937.0,group_A
257.7,2792.2,209.2,General Motors,1938.0,group_B
524.1035909090909,4313.2,203.4,General Motors,1939.0,group_A
461.2,4643.9,207.2,General Motors,1940.0,group_B
512.0,4551.2,255.2,General Motors,1941.0,group_B
448.0,3244.1,303.7,General Motors,1942.0,group_B
861.703590909091,4053.7,264.1,General Motors,1943.0,group_A
547.5,4379.3,201.6,General Motors,1944.0,group_B
984.903590909091,4840.9,265.0,General Motors,1945.0,group_A
1238.703590909091,4900.9,402.2,General Motors,1946.0,group_A
568.9,3526.5,761.5,General Motors,1947.0,group_B
920.903590909091,3254.7,922.4,General Motors,1948.0,group_A
972.703590909091,3700.2,1020.1,General Motors,1949.0,group_A
642.9,3755.6,1099.0,General Motors,1950.0,group_B
755.9,4833.0,1207.7,General Motors,1951.0,group_B
1644.903590909091,4924.9,1430.5,General Motors,1952.0,group_A
1304.4,6241.7,1777.3,General Motors,1953.0,group_B
2835.9035909090912,5593.6,2226.3,General Motors,1954.0,group_A
209.9,1362.4,53.8,US Steel,1935.0,group_B
573.1035909090909,1807.1,50.5,US Steel,1936.0,group_A
469.9,2676.3,118.1,US Steel,1937.0,group_B
387.10359090909094,1801.9,260.2,US Steel,1938.0,group_A
230.4,1957.3,312.7,US Steel,1939.0,group_B
361.6,2202.9,254.2,US Steel,1940.0,group_B
808.1035909090908,2380.5,261.4,US Steel,1941.0,group_A
753.703590909091,2168.6,298.7,US Steel,1942.0,group_A
585.703590909091,1985.1,301.8,US Steel,1943.0,group_A
288.2,1813.9,279.1,US Steel,1944.0,group_B
258.7,1850.2,213.8,US Steel,1945.0,group_B
703.1035909090908,2067.7,132.6,US Steel,1946.0,group_A
703.5035909090909,1796.7,264.8,US Steel,1947.0,group_A
494.5,1625.8,306.9,US Steel,1948.0,group_B
672.703590909091,1667.0,351.1,US Steel,1949.0,group_A
700.1035909090908,1677.4,357.8,US Steel,1950.0,group_A
1038.903590909091,2289.5,342.1,US Steel,1951.0,group_A
645.5,2159.4,444.2,US Steel,1952.0,group_B
641.0,2031.3,623.6,US Steel,1953.0,group_B
781.1035909090908,2115.5,669.7,US Steel,1954.0,group_A
-71.29640909090912,1170.6,97.8,General Electric,1935.0,group_A
45.0,2015.8,104.4,General Electric,1936.0,group_B
77.2,2803.3,118.0,General Electric,1937.0,group_B
-48.29640909090912,2039.7,156.2,General Electric,1938.0,group_A
-41.29640909090912,2256.2,172.6,General Electric,1939.0,group_A
74.4,2132.2,186.6,General Electric,1940.0,group_B
113.0,1834.1,220.9,General Electric,1941.0,group_B
91.9,1588.0,287.8,General Electric,1942.0,group_B
61.3,1749.4,319.9,General Electric,1943.0,group_B
56.8,1687.2,321.3,General Electric,1944.0,group_B
93.6,2007.7,319.6,General Electric,1945.0,group_B
182.3035909090909,2208.3,346.0,General Electric,1946.0,group_A
156.90359090909087,1656.7,456.4,General Electric,1947.0,group_A
146.3,1604.4,543.4,General Electric,1948.0,group_B
98.3,1431.8,618.3,General Electric,1949.0,group_B
49.50359090909089,1610.5,647.4,General Electric,1950.0,group_A
132.90359090909087,1819.4,671.3,General Electric,1951.0,group_A
177.1035909090909,2079.7,726.1,General Electric,1952.0,group_A
179.5,2371.6,800.3,General Electric,1953.0,group_B
241.70359090909088,2759.9,888.9,General Electric,1954.0,group_A
-56.91640909090913,417.5,10.5,Chrysler,1935.0,group_A
8.023590909090899,837.8,10.2,Chrysler,1936.0,group_A
66.26,883.9,34.7,Chrysler,1937.0,group_B
-34.29640909090912,437.9,51.8,Chrysler,1938.0,group_A
52.41,679.7,64.3,Chrysler,1939.0,group_B
69.41,727.8,67.1,Chrysler,1940.0,group_B
68.35,643.6,75.2,Chrysler,1941.0,group_B
-43.89640909090912,410.9,71.4,Chrysler,1942.0,group_A
47.4,588.4,67.1,Chrysler,1943.0,group_B
59.57,698.4,60.5,Chrysler,1944.0,group_B
88.78,846.4,54.6,Chrysler,1945.0,group_B
10.743590909090898,893.8,84.8,Chrysler,1946.0,group_A
-12.136409090909098,579.0,96.8,Chrysler,1947.0,group_A
41.22359090909089,694.6,110.2,Chrysler,1948.0,group_A
20.463590909090897,590.3,147.4,Chrysler,1949.0,group_A
63.82359090909088,693.5,163.2,Chrysler,1950.0,group_A
183.7435909090909,809.0,203.5,Chrysler,1951.0,group_A
152.5035909090909,727.0,290.6,Chrysler,1952.0,group_A
174.93,1001.5,346.1,Chrysler,1953.0,group_B
207.4835909090909,703.2,414.9,Chrysler,1954.0,group_A
39.68,157.7,183.2,Atlantic Refining,1935.0,group_B
50.73,167.9,204.0,Atlantic Refining,1936.0,group_B
10.983590909090879,192.9,236.0,Atlantic Refining,1937.0,group_A
-30.47640909090913,156.7,291.7,Atlantic Refining,1938.0,group_A
42.65,191.4,323.1,Atlantic Refining,1939.0,group_B
-44.53640909090913,185.5,344.0,Atlantic Refining,1940.0,group_A
61.4,199.6,367.7,Atlantic Refining,1941.0,group_B
-58.15640909090911,189.5,407.2,Atlantic Refining,1942.0,group_A
62.24,151.2,426.6,Atlantic Refining,1943.0,group_B
52.32,187.7,470.0,Atlantic Refining,1944.0,group_B
63.21,214.7,499.2,Atlantic Refining,1945.0,group_B
-18.756409090909102,232.9,534.6,Atlantic Refining,1946.0,group_A
-21.45640909090909,249.0,566.6,Atlantic Refining,1947.0,group_A
3.1835909090908956,224.5,595.3,Atlantic Refining,1948.0,group_A
-2.656409090909108,237.3,631.4,Atlantic Refining,1949.0,group_A
55.74,240.1,662.3,Atlantic Refining,1950.0,group_B
80.3,327.3,683.9,Atlantic Refining,1951.0,group_B
33.3035909090909,359.4,729.3,Atlantic Refining,1952.0,group_A
46.3035909090909,398.4,774.3,Atlantic Refining,1953.0,group_A
81.43,365.7,804.9,Atlantic Refining,1954.0,group_B
-96.77640909090911,197.0,6.5,IBM,1935.0,group_A
-85.5364090909091,210.3,15.8,IBM,1936.0,group_A
25.94,223.1,27.7,IBM,1937.0,group_B
-82.43640909090911,216.7,39.2,IBM,1938.0,group_A
-88.29640909090912,286.4,48.6,IBM,1939.0,group_A
28.54,298.0,52.5,IBM,1940.0,group_B
43.41,276.9,61.5,IBM,1941.0,group_B
-51.87640909090911,272.6,80.5,IBM,1942.0,group_A
-81.8164090909091,287.4,94.4,IBM,1943.0,group_A
32.6,330.3,92.6,IBM,1944.0,group_B
39.03,324.4,92.3,IBM,1945.0,group_B
-37.15640909090911,401.9,94.2,IBM,1946.0,group_A
-33.79640909090912,407.4,111.4,IBM,1947.0,group_A
64.03,409.2,127.4,IBM,1948.0,group_B
68.16,482.2,149.3,IBM,1949.0,group_B
77.34,673.8,164.4,IBM,1950.0,group_B
53.10359090909088,676.9,177.2,IBM,1951.0,group_A
61.48359090909088,702.0,200.0,IBM,1952.0,group_A
127.52,793.5,211.5,IBM,1953.0,group_B
135.72,927.3,238.7,IBM,1954.0,group_B
24.43,138.0,100.2,Union Oil,1935.0,group_B
23.21,200.1,125.0,Union Oil,1936.0,group_B
32.78,210.1,142.4,Union Oil,1937.0,group_B
-72.41640909090913,161.2,165.1,Union Oil,1938.0,group_A
-84.1964090909091,161.7,194.8,Union Oil,1939.0,group_A
33.71,145.1,222.9,Union Oil,1940.0,group_B
43.5,110.6,252.1,Union Oil,1941.0,group_B
34.46,98.1,276.3,Union Oil,1942.0,group_B
44.28,108.8,300.3,Union Oil,1943.0,group_B
70.8,118.2,318.2,Union Oil,1944.0,group_B
44.12,126.5,336.2,Union Oil,1945.0,group_B
-39.53640909090913,156.7,351.2,Union Oil,1946.0,group_A
48.51,119.4,373.6,Union Oil,1947.0,group_B
-37.49640909090911,129.1,389.4,Union Oil,1948.0,group_A
-36.316409090909104,134.8,406.7,Union Oil,1949.0,group_A
42.53,140.8,429.5,Union Oil,1950.0,group_B
-7.956409090909119,179.0,450.6,Union Oil,1951.0,group_A
72.68,178.1,466.9,Union Oil,1952.0,group_B
10.223590909090888,186.8,486.2,Union Oil,1953.0,group_A
89.51,192.7,511.3,Union Oil,1954.0,group_B
12.93,191.5,1.8,Westinghouse,1935.0,group_B
-85.6964090909091,516.0,0.8,Westinghouse,1936.0,group_A
-67.39640909090912,729.0,7.4,Westinghouse,1937.0,group_A
22.89,560.4,18.1,Westinghouse,1938.0,group_B
-99.8164090909091,519.9,23.5,Westinghouse,1939.0,group_A
-80.35640909090912,628.5,26.5,Westinghouse,1940.0,group_A
48.51,537.1,36.2,Westinghouse,1941.0,group_B
-50.816409090909104,561.2,60.8,Westinghouse,1942.0,group_A
37.02,617.2,84.4,Westinghouse,1943.0,group_B
37.81,626.7,91.2,Westinghouse,1944.0,group_B
-58.95640909090909,737.2,92.4,Westinghouse,1945.0,group_A
-30.576409090909095,760.5,86.0,Westinghouse,1946.0,group_A
-26.376409090909107,581.4,111.1,Westinghouse,1947.0,group_A
49.56,662.3,130.6,Westinghouse,1948.0,group_B
32.04,583.8,141.8,Westinghouse,1949.0,group_B
32.24,635.2,136.7,Westinghouse,1950.0,group_B
54.38,723.8,129.7,Westinghouse,1951.0,group_B
6.063590909090891,864.1,145.5,Westinghouse,1952.0,group_A
42.663590909090885,1193.5,174.8,Westinghouse,1953.0,group_A
-0.2964090909091226,1188.9,213.5,Westinghouse,1954.0,group_A
-84.23640909090912,290.6,162.0,Goodyear,1935.0,group_A
23.39,291.1,174.0,Goodyear,1936.0,group_B
-76.1964090909091,335.0,183.0,Goodyear,1937.0,group_A
-95.71640909090911,246.0,198.0,Goodyear,1938.0,group_A
28.78,356.2,208.0,Goodyear,1939.0,group_B
26.93,289.8,223.0,Goodyear,1940.0,group_B
-73.33640909090911,268.2,234.0,Goodyear,1941.0,group_A
-73.0764090909091,213.3,248.0,Goodyear,1942.0,group_A
-66.11640909090912,348.2,274.0,Goodyear,1943.0,group_A
-12.556409090909114,374.2,282.0,Goodyear,1944.0,group_A
52.32,387.2,316.0,Goodyear,1945.0,group_B
56.95,347.4,302.0,Goodyear,1946.0,group_B
-28.856409090909125,291.9,333.0,Goodyear,1947.0,group_A
40.53,297.2,359.0,Goodyear,1948.0,group_B
-72.41640909090913,276.9,370.0,Goodyear,1949.0,group_A
