invest,value,capital,firm,year,subject_id,condition
317.6,3078.5,2.8,General Motors,1935.0,0,condition_A
391.8,4661.7,52.6,General Motors,1936.0,0,condition_B
410.6,5387.1,156.9,General Motors,1937.0,1,condition_A
257.7,2792.2,209.2,General Motors,1938.0,1,condition_B
330.8,4313.2,203.4,General Motors,1939.0,2,condition_A
461.2,4643.9,207.2,General Motors,1940.0,2,condition_B
512.0,4551.2,255.2,General Motors,1941.0,3,condition_A
448.0,3244.1,303.7,General Motors,1942.0,3,condition_B
499.6,4053.7,264.1,General Motors,1943.0,4,condition_A
547.5,4379.3,201.6,General Motors,1944.0,4,condition_B
561.2,4840.9,265.0,General Motors,1945.0,5,condition_A
688.1,4900.9,402.2,General Motors,1946.0,5,condition_B
568.9,3526.5,761.5,General Motors,1947.0,6,condition_A
529.2,3254.7,922.4,General Motors,1948.0,6,condition_B
555.1,3700.2,1020.1,General Motors,1949.0,7,condition_A
642.9,3755.6,1099.0,General Motors,1950.0,7,condition_B
755.9,4833.0,1207.7,General Motors,1951.0,8,condition_A
891.2,4924.9,1430.5,General Motors,1952.0,8,condition_B
1304.4,6241.7,1777.3,General Motors,1953.0,9,condition_A
1486.7,5593.6,2226.3,General Motors,1954.0,9,condition_B
209.9,1362.4,53.8,US Steel,1935.0,10,condition_A
355.3,1807.1,50.5,US Steel,1936.0,10,condition_B
469.9,2676.3,118.1,US Steel,1937.0,11,condition_A
262.3,1801.9,260.2,US Steel,1938.0,11,condition_B
230.4,1957.3,312.7,US Steel,1939.0,12,condition_A
361.6,2202.9,254.2,US Steel,1940.0,12,condition_B
472.8,2380.5,261.4,US Steel,1941.0,13,condition_A
445.6,2168.6,298.7,US Steel,1942.0,13,condition_B
361.6,1985.1,301.8,US Steel,1943.0,14,condition_A
288.2,1813.9,279.1,US Steel,1944.0,14,condition_B
258.7,1850.2,213.8,US Steel,1945.0,15,condition_A
420.3,2067.7,132.6,US Steel,1946.0,15,condition_B
420.5,1796.7,264.8,US Steel,1947.0,16,condition_A
494.5,1625.8,306.9,US Steel,1948.0,16,condition_B
405.1,1667.0,351.1,US Steel,1949.0,17,condition_A
418.8,1677.4,357.8,US Steel,1950.0,17,condition_B
588.2,2289.5,342.1,US Steel,1951.0,18,condition_A
645.5,2159.4,444.2,US Steel,1952.0,18,condition_B
641.0,2031.3,623.6,US Steel,1953.0,19,condition_A
459.3,2115.5,669.7,US Steel,1954.0,19,condition_B
33.1,1170.6,97.8,General Electric,1935.0,20,condition_A
45.0,2015.8,104.4,General Electric,1936.0,20,condition_B
77.2,2803.3,118.0,General Electric,1937.0,21,condition_A
44.6,2039.7,156.2,General Electric,1938.0,21,condition_B
48.1,2256.2,172.6,General Electric,1939.0,22,condition_A
74.4,2132.2,186.6,General Electric,1940.0,22,condition_B
113.0,1834.1,220.9,General Electric,1941.0,23,condition_A
91.9,1588.0,287.8,General Electric,1942.0,23,condition_B
61.3,1749.4,319.9,General Electric,1943.0,24,condition_A
56.8,1687.2,321.3,General Electric,1944.0,24,condition_B
93.6,2007.7,319.6,General Electric,1945.0,25,condition_A
159.9,2208.3,346.0,General Electric,1946.0,25,condition_B
147.2,1656.7,456.4,General Electric,1947.0,26,condition_A
146.3,1604.4,543.4,General Electric,1948.0,26,condition_B
98.3,1431.8,618.3,General Electric,1949.0,27,condition_A
93.5,1610.5,647.4,General Electric,1950.0,27,condition_B
135.2,1819.4,671.3,General Electric,1951.0,28,condition_A
157.3,2079.7,726.1,General Electric,1952.0,28,condition_B
179.5,2371.6,800.3,General Electric,1953.0,29,condition_A
189.6,2759.9,888.9,General Electric,1954.0,29,condition_B
40.29,417.5,10.5,Chrysler,1935.0,30,condition_A
72.76,837.8,10.2,Chrysler,1936.0,30,condition_B
66.26,883.9,34.7,Chrysler,1937.0,31,condition_A
51.6,437.9,51.8,Chrysler,1938.0,31,condition_B
52.41,679.7,64.3,Chrysler,1939.0,32,condition_A
69.41,727.8,67.1,Chrysler,1940.0,32,condition_B
