dataset,column_header,data_type,num_of_rows,is_normality,column_description
star98_schools,NABOVE,quant,303,False,
star98_schools,NBELOW,quant,303,False,
star98_schools,LOWINC,quant,303,True,
star98_schools,PERASIAN,quant,303,False,
star98_schools,PERBLACK,quant,303,False,
star98_schools,PERHISP,quant,303,False,
star98_schools,PERMINTE,quant,303,False,
star98_schools,AVYRSEXP,quant,303,True,
star98_schools,AVSALK,quant,303,True,
star98_schools,PERSPENK,quant,303,False,
star98_schools,PTRATIO,quant,303,False,
star98_schools,PCTAF,quant,303,False,
star98_schools,PCTCHRT,cate,303,False,
star98_schools,PCTYRRND,quant,303,False,
star98_schools,PERMINTE_AVYRSEXP,quant,303,False,
star98_schools,PERMINTE_AVSAL,quant,303,False,
star98_schools,AVYRSEXP_AVSAL,quant,303,True,
star98_schools,PERSPEN_PTRATIO,quant,303,False,
star98_schools,PERSPEN_PCTAF,quant,303,False,
star98_schools,PTRATIO_PCTAF,quant,303,False,
star98_schools,PERMINTE_AVYRSEXP_AVSAL,quant,303,False,
star98_schools,PERSPEN_PTRATIO_PCTAF,quant,303,False,
